Course Title	Rating	Level	Schedule	What you will learn	Skill gain	Modules	Instructor	Offered By	Department	Course Url	Duration to complete (Approx.)	Keywords	Number of Review
Accelerated Computer Science Fundamentals Specialization	4.7	Intermediate level	Flexible schedule	Design and implement an object-oriented program in the C++ language, including defining classes that encapsulate data structures and algorithms. Select and implement appropriate data structures that best utilize resources to solve a computational problem. Analyze the running time and space needs of an algorithm, asymptotically to ensure it is appropriate at scale, including for big data. Prepare for advanced courses in CS with the foundational knowledge of object data structures needed to implement and call advanced library functions.	Trees (Data Structures), Algorithms, Hash Table, Object-Oriented Programming (OOP), Run-time Analysis	Object-Oriented Data Structures in C++, Ordered Data Structures, Unordered Data Structures	Wade Fagen-Ulmschneider	University of Illinois at Urbana-Champaign	Computer Science	https://www.coursera.org/specializations/cs-fundamentals	80.0	Programming,Algorithm	2451.0
Data Structures and Algorithms Specialization	4.6	Intermediate level	Flexible schedule	Play with 50 algorithmic puzzles on your smartphone to develop your algorithmic intuition!  Apply algorithmic techniques (greedy algorithms, binary search, dynamic programming, etc.) and data structures (stacks, queues, trees, graphs, etc.) to solve 100 programming challenges that often appear at interviews at high-tech companies. Get an instant feedback on whether your solution is correct. Apply the newly learned algorithms to solve real-world challenges: navigating in a Big Network  or assembling a genome of a deadly pathogen from millions of short substrings of its DNA. Learn exactly the same material as undergraduate students in “Algorithms 101” at top universities and more! We are excited that students from various parts of the world are now studying our online materials in the Algorithms 101 classes at their universities. Here is a quote from the website of Professor Sauleh Eetemadi from Iran University of Science and Technology: “After examining syllabus and course material from top universities including StanfordOpens in a new tab, Princeton and MITOpens in a new tab we have chosen to follow the Data Structures and Algorithms Specialization from UCSD...due to excellent course material and its practical approach.” If you decide to venture beyond Algorithms 101, try to solve more complex programming challenges (flows in networks, linear programming, streaming algorithms, etc.) and complete an equivalent of a graduate course in algorithms!	Software Testing, Data Structure, Computer Programming, Algorithms, Debugging	Algorithmic Toolbox, Data Structures, Algorithms on Graphs, Algorithms on Strings, Advanced Algorithms and Complexity, Genome Assembly Programming Challenge	Alexander S. Kulikov, Neil Rhodes, Pavel  Pevzner, Michael Levin, Daniel M Kane	University of California San Diego	Computer Science	https://www.coursera.org/specializations/data-structures-algorithms	200.0	Algorithm	13089.0
Data Science Specialization	4.5	Beginner level	Flexible schedule	Use R to clean, analyze, and visualize data.Navigate the entire data science pipeline from data acquisition to publication. Use GitHub to manage data science projects. Perform regression analysis, least squares and inference using regression models.	Github, Machine Learning, R Programming, Regression Analysis	The Data Scientist’s Toolbox, R Programming, Getting and Cleaning Data, Exploratory Data Analysis, Reproducible Research, Statistical Inference, Regression Models, Practical Machine Learning, Developing Data Products, Data Science Capstone	Brian Caffo, PhD, Jeff Leek, PhD, Roger D. Peng, PhD	Johns Hopkins University	Computer Science	https://www.coursera.org/specializations/jhu-data-science	280.0	Programming,Data Science	38691.0
Foundations of Computer Science	4.6	Beginner level	Flexible schedule	Develop computer programs that utilize classes and objects to solve business and mathematical problems. Develop computer programs that utilize collections of variables to solve business and mathematical problems. Model Object Oriented Programs with UML class diagrams.	Computer Programming, Debugging, computer science fundamentals, software modeling, Visual Basic (VB)	Specialization: Introduction to Computer Programming Visual Basic, Algorithms, History of Computing and Algorithm Efficiency, Computer Hardware and Organization, Computer Networks, Cloud Computing and Information Security , Systems Software, Databases and Automation 	Aspen Olmsted	LearnQuest	Computer Science	https://www.coursera.org/learn/computer-science-foundations	15.0	Programming	76.0
Vector Calculus for Engineers	4.8	Beginner level	Flexible schedule	Vectors, the dot product and cross product. The gradient, divergence, curl, and Laplacian. Multivariable integration, polar, cylindrical and spherical coordinates. Line integrals, surface integrals, the gradient theorem, the divergence theorem and Stokes' theorem.	Not specified	Vectors, Differentiation, Integration and Curvilinear Coordinates, Line and Surface Integrals, Fundamental Theorems	Jeffrey R. Chasnov	The Hong Kong University of Science and Technology	Math and Logic	https://www.coursera.org/learn/vector-calculus-engineers	30.0	Math	1311.0
Introduction to Machine Learning in Sports Analytics	4.6	Intermediate level	Flexible schedule	Gain an understanding of how classification and regression techniques can be used to enable sports analytics across athletic activities and events.	Data Analysis, Python Programming, sports analytics	Machine Learning Concepts, Support Vector Machines, Decision Trees, Ensembles & Beyond	Christopher Brooks	University of Michigan	Math and Logic	https://www.coursera.org/learn/machine-learning-sports-analytics	12.0	Data Science,Programming	16.0
Build Regression, Classification, and Clustering Models	4.2	Intermediate level	Flexible schedule	Train and evaluate linear regression models. Train binary and multi-class classification models. Evaluate and tune classification models to improve their performance. Train and evaluate clustering models to find useful patterns in unsupervised data.	Linear Regression, Machine Learning (ML) Algorithms, Machine Learning, classification, clustering	"Build Linear Regression Models Using Linear Algebra, Build Regularized and Iterative Linear Regression Models, Train Classification Models, Evaluate and Tune Classification Models, Build Clustering Models, ""Apply What Youve Learned"""	Anastas Stoyanovsky	CertNexus	Math and Logic	https://www.coursera.org/learn/build-regression-classification-clustering-models	20.0	Data Science	10.0
Breast Cancer Prediction Using Machine Learning	4.6	Intermediate level	Hands-on learning	Learn to Build Logistic Regression Classifier to Classify Cancer as Malignant or Benign. Learn to download dataset directly from Kaggle using Kaggle API. Learn to work with Google Colab in Cloud	Python Programming, Cancer prediction, Machine Learning, Data Mining	Learn step-by-step	Priya Jha	Coursera Project Network	Math and Logic	https://www.coursera.org/projects/breast-cancer-prediction-using-machine-learning	2.0	Programming,Cloud Technology,Data Science	30.0
Creative Thinking: Techniques and Tools for Success	4.7	Beginner level	Flexible schedule	Understand what creative thinking techniques are. Comprehend their importance in tackling global challenges as well as in everyday problem-solving scenarios. Select and apply the appropriate technique based on the opportunity to seize or the problem to tackle.	Creative Thinking, Problem Solving, Creativity, Brainstorming	Introduction to the Principles of Creativity, Creativity Tools, Thinking Styles, Morphological Analysis, TRIZ - the Theory of Inventive Problem Solving, SCAMPER, Using the Tools in Combination	Peter Childs	Imperial College London	Personal Development	https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success	19.0	Soft Skills	4060.0
Preparation for Job Interviews	4.4	Beginner level	Hands-on learning	Prepare for 5 Different types of job interviews; Prepare for the most common interview questions; Prepare for best practices BEFORE the job interview	Communication, Business Writing, Self-representation, Job Readiness, listening	Learn step-by-step	Dianna Eckford	Coursera Project Network	Personal Development	https://www.coursera.org/projects/preparation-for-job-interviews	1.0	Soft Skills	632.0
Developing Interpersonal Skills 	4.7	Beginner level	Flexible schedule	Identify and analyze different communication styles and understand their strengths and weaknesses. Demonstrate active listening skills and questioning styles to explore issues and enhance understanding. Identify conflict response styles; approach and effectively mediate workplace conflicts. Determine ways to build and maintain trust and increase your influence and eminence in the workplace.	Communication, Soft skills, Listening Skills, People Management, Organizational Conflict	Interpersonal Skills	IBM Skills Network Team	IBM	Personal Development	https://www.coursera.org/learn/interpersonal-skills	3.0	Soft Skills,Management & Leadership	267.0
